frame	location_0	location_1	location_2	rotation_euler_0	rotation_euler_1	rotation_euler_2
0	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
1	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
2	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
3	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
4	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
5	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
6	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
7	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
8	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
9	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
10	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
11	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
12	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
13	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
14	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
15	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
16	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
17	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
18	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
19	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
20	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
21	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
22	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
23	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
24	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
25	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
26	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
27	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
28	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
29	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
30	0.0	0.012751784175634384	-0.29418304562568665	-1.117011308670044	0.0	0.0
31	0.0	0.012751784175634384	-0.29418304562568665	-1.1170110702514648	0.0008594938553869724	0.00041920269723050296
32	0.0	0.012751784175634384	-0.29418304562568665	-1.1170082092285156	0.003442805726081133	0.001679173787124455
33	0.0	0.012751784175634384	-0.29418304562568665	-1.1169966459274292	0.00775674544274807	0.0037832974921911955
34	0.0	0.012751784175634384	-0.29418304562568665	-1.11696457862854	0.013807488605380058	0.006734832189977169
35	0.0	0.012751784175634384	-0.29418304562568665	-1.1168973445892334	0.021600492298603058	0.010537085123360157
36	0.0	0.012751784175634384	-0.29418304562568665	-1.116774559020996	0.031140390783548355	0.01519366167485714
37	0.0	0.012751784175634384	-0.29418304562568665	-1.1165719032287598	0.042430877685546875	0.020708803087472916
38	0.0	0.012751784175634384	-0.29418304562568665	-1.1162595748901367	0.05547453835606575	0.027087809517979622
39	0.0	0.012751784175634384	-0.29418304562568665	-1.1158039569854736	0.07027268409729004	0.034337516874074936
40	0.0	0.012751784175634384	-0.29418304562568665	-1.115166187286377	0.0868251845240593	0.042466919869184494
41	0.0	0.012751784175634384	-0.29418304562568665	-1.1143016815185547	0.10513024032115936	0.05148787423968315
42	0.0	0.012751784175634384	-0.29418304562568665	-1.1131608486175537	0.12518410384655	0.061415836215019226
43	0.0	0.012751784175634384	-0.29418304562568665	-1.1116880178451538	0.14698080718517303	0.07227086275815964
44	0.0	0.012751784175634384	-0.29418304562568665	-1.1098214387893677	0.17051194608211517	0.08407862484455109
45	0.0	0.012751784175634384	-0.29418304562568665	-1.107491374015808	0.1957661360502243	0.09687158465385437
46	0.0	0.012751784175634384	-0.29418304562568665	-1.1046205759048462	0.22272874414920807	0.11069054901599884
47	0.0	0.012751784175634384	-0.29418304562568665	-1.1011219024658203	0.25138139724731445	0.12558624148368835
48	0.0	0.012751784175634384	-0.29418304562568665	-1.096897840499878	0.28170135617256165	0.14162121713161469
49	0.0	0.012751784175634384	-0.29418304562568665	-1.0918371677398682	0.3136609196662903	0.1588725447654724
50	0.0	0.012751784175634384	-0.29418304562568665	-1.0858136415481567	0.3472265601158142	0.1774342656135559
51	0.0	0.012751784175634384	-0.29418304562568665	-1.0786820650100708	0.38235780596733093	0.19742096960544586
52	0.0	0.012751784175634384	-0.29418304562568665	-1.0702742338180542	0.41900643706321716	0.21897245943546295
53	0.0	0.012751784175634384	-0.29418304562568665	-1.060394525527954	0.45711445808410645	0.24225856363773346
54	0.0	0.012751784175634384	-0.29418304562568665	-1.0488125085830688	0.4966124892234802	0.2674861550331116
55	0.0	0.012751784175634384	-0.29418304562568665	-1.0352550745010376	0.5374169945716858	0.29490724205970764
56	0.0	0.012751784175634384	-0.29418304562568665	-1.019396185874939	0.5794270038604736	0.324829638004303
57	0.0	0.012751784175634384	-0.29418304562568665	-1.00084388256073	0.6225205659866333	0.35763034224510193
58	0.0	0.012751784175634384	-0.29418304562568665	-0.9791219830513	0.666547954082489	0.39377227425575256
59	0.0	0.012751784175634384	-0.29418304562568665	-0.9536515474319458	0.7113248109817505	0.4338248372077942
60	0.0	0.012751784175634384	-0.29418304562568665	-0.923722505569458	0.7566224932670593	0.478490948677063
61	0.0	0.012751784175634384	-0.29418304562568665	-0.8884660005569458	0.8021528720855713	0.528635561466217
62	0.0	0.012751784175634384	-0.29418304562568665	-0.8468167781829834	0.8475521206855774	0.5853222012519836
63	0.0	0.012751784175634384	-0.29418304562568665	-0.7974832653999329	0.8923555016517639	0.6498439311981201
64	0.0	0.012751784175634384	-0.29418304562568665	-0.7389270067214966	0.9359663724899292	0.7237439155578613
65	0.0	0.012751784175634384	-0.29418304562568665	-0.6693804860115051	0.9776179194450378	0.8087966442108154
66	0.0	0.012751784175634384	-0.29418304562568665	-0.5869519114494324	1.0163325071334839	0.9069037437438965
67	0.0	0.012751784175634384	-0.29418304562568665	-0.4898882508277893	1.050886631011963	1.0198317766189575
68	0.0	0.012751784175634384	-0.29418304562568665	-0.3770830035209656	1.0798090696334839	1.1487030982971191
69	0.0	0.012751784175634384	-0.29418304562568665	-0.24885472655296326	1.1014494895935059	1.2932182550430298
