frame	location_0	location_1	location_2	rotation_euler_0	rotation_euler_1	rotation_euler_2
0	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
1	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
2	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
3	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
4	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
5	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
6	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
7	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
8	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
9	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
10	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
11	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
12	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
13	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
14	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
15	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
16	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
17	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
18	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
19	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
20	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
21	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
22	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
23	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
24	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
25	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
26	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
27	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
28	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
29	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
30	0.0	0.27000001072883606	-0.11749999970197678	-1.1170111894607544	0.0	0.0
31	0.0	0.27000001072883606	-0.11749999970197678	-1.1160549151827581	0.0	0.0
32	0.0	0.27000001072883606	-0.11749999970197678	-1.1131807167548686	0.0	0.0
33	0.0	0.27000001072883606	-0.11749999970197678	-1.108381001278758	0.0	0.0
34	0.0	0.27000001072883606	-0.11749999970197678	-1.1016488391906023	0.0	0.0
35	0.0	0.27000001072883606	-0.11749999970197678	-1.0929780006408691	0.0	0.0
36	0.0	0.27000001072883606	-0.11749999970197678	-1.0823630020022392	0.0	0.0
37	0.0	0.27000001072883606	-0.11749999970197678	-1.0697991512715816	0.0	0.0
38	0.0	0.27000001072883606	-0.11749999970197678	-1.055282585322857	0.0	0.0
39	0.0	0.27000001072883606	-0.11749999970197678	-1.0388103425502777	0.0	0.0
40	0.0	0.27000001072883606	-0.11749999970197678	-1.0203803554177284	0.0	0.0
41	0.0	0.27000001072883606	-0.11749999970197678	-0.9999915584921837	0.0	0.0
42	0.0	0.27000001072883606	-0.11749999970197678	-0.9776439368724823	0.0	0.0
43	0.0	0.27000001072883606	-0.11749999970197678	-0.9533384889364243	0.0	0.0
44	0.0	0.27000001072883606	-0.11749999970197678	-0.9270773679018021	0.0	0.0
45	0.0	0.27000001072883606	-0.11749999970197678	-0.8988639563322067	0.0	0.0
46	0.0	0.27000001072883606	-0.11749999970197678	-0.868702843785286	0.0	0.0
47	0.0	0.27000001072883606	-0.11749999970197678	-0.8365998268127441	0.0	0.0
48	0.0	0.27000001072883606	-0.11749999970197678	-0.8025622069835663	0.0	0.0
49	0.0	0.27000001072883606	-0.11749999970197678	-0.7665984928607941	0.0	0.0
50	0.0	0.27000001072883606	-0.11749999970197678	-0.7287187278270721	0.0	0.0
51	0.0	0.27000001072883606	-0.11749999970197678	-0.6889346241950989	0.0	0.0
52	0.0	0.27000001072883606	-0.11749999970197678	-0.6472589671611786	0.0	0.0
53	0.0	0.27000001072883606	-0.11749999970197678	-0.6037066578865051	0.0	0.0
54	0.0	0.27000001072883606	-0.11749999970197678	-0.5582939386367798	0.0	0.0
55	0.0	0.27000001072883606	-0.11749999970197678	-0.5110387206077576	0.0	0.0
56	0.0	0.27000001072883606	-0.11749999970197678	-0.4619610905647278	0.0	0.0
57	0.0	0.27000001072883606	-0.11749999970197678	-0.4110822081565857	0.0	0.0
58	0.0	0.27000001072883606	-0.11749999970197678	-0.3584257960319519	0.0	0.0
59	0.0	0.27000001072883606	-0.11749999970197678	-0.3040168285369873	0.0	0.0
60	0.0	0.27000001072883606	-0.11749999970197678	-0.24788224697113037	0.0	0.0
61	0.0	0.27000001072883606	-0.11749999970197678	-0.19005167484283447	0.0	0.0
62	0.0	0.27000001072883606	-0.11749999970197678	-0.13055574893951416	0.0	0.0
63	0.0	0.27000001072883606	-0.11749999970197678	-0.0694272518157959	0.0	0.0
64	0.0	0.27000001072883606	-0.11749999970197678	-0.0067015886306762695	0.0	0.0
65	0.0	0.27000001072883606	-0.11749999970197678	0.057584404945373535	0.0	0.0
66	0.0	0.27000001072883606	-0.11749999970197678	0.12339198589324951	0.0	0.0
67	0.0	0.27000001072883606	-0.11749999970197678	0.190679669380188	0.0	0.0
68	0.0	0.27000001072883606	-0.11749999970197678	0.2594047784805298	0.0	0.0
69	0.0	0.27000001072883606	-0.11749999970197678	0.3295220136642456	0.0	0.0
70	0.0	0.27000001072883606	-0.11749999970197678	0.40098464488983154	0.0	0.0
71	0.0	0.27000001072883606	-0.11749999970197678	0.473743200302124	0.0	0.0
72	0.0	0.27000001072883606	-0.11749999970197678	0.5477471351623535	0.0	0.0
73	0.0	0.27000001072883606	-0.11749999970197678	0.6229435205459595	0.0	0.0
74	0.0	0.27000001072883606	-0.11749999970197678	0.6992775201797485	0.0	0.0
75	0.0	0.27000001072883606	-0.11749999970197678	0.7766929864883423	0.0	0.0
76	0.0	0.27000001072883606	-0.11749999970197678	0.8551310300827026	0.0	0.0
77	0.0	0.27000001072883606	-0.11749999970197678	0.9345320463180542	0.0	0.0
78	0.0	0.27000001072883606	-0.11749999970197678	1.0148345232009888	0.0	0.0
79	0.0	0.27000001072883606	-0.11749999970197678	1.0959757566452026	0.0	0.0
80	0.0	0.27000001072883606	-0.11749999970197678	1.1778901815414429	0.0	0.0
81	0.0	0.27000001072883606	-0.11749999970197678	1.2605129480361938	0.0	0.0
82	0.0	0.27000001072883606	-0.11749999970197678	1.3437765836715698	0.0	0.0
83	0.0	0.27000001072883606	-0.11749999970197678	1.4276129007339478	0.0	0.0
84	0.0	0.27000001072883606	-0.11749999970197678	1.5119527578353882	0.0	0.0
85	0.0	0.27000001072883606	-0.11749999970197678	1.596725344657898	0.0	0.0
86	0.0	0.27000001072883606	-0.11749999970197678	1.681860327720642	0.0	0.0
87	0.0	0.27000001072883606	-0.11749999970197678	1.767285704612732	0.0	0.0
88	0.0	0.27000001072883606	-0.11749999970197678	1.852929949760437	0.0	0.0
89	0.0	0.27000001072883606	-0.11749999970197678	1.938719630241394	0.0	0.0
90	0.0	0.27000001072883606	-0.11749999970197678	2.0245827436447144	0.0	0.0
91	0.0	0.27000001072883606	-0.11749999970197678	2.1104458570480347	0.0	0.0
92	0.0	0.27000001072883606	-0.11749999970197678	2.1962352991104126	0.0	0.0
93	0.0	0.27000001072883606	-0.11749999970197678	2.2818793058395386	0.0	0.0
94	0.0	0.27000001072883606	-0.11749999970197678	2.3673051595687866	0.0	0.0
95	0.0	0.27000001072883606	-0.11749999970197678	2.4524401426315308	0.0	0.0
96	0.0	0.27000001072883606	-0.11749999970197678	2.5372132062911987	0.0	0.0
97	0.0	0.27000001072883606	-0.11749999970197678	2.62155282497406	0.0	0.0
98	0.0	0.27000001072883606	-0.11749999970197678	2.7053881883621216	0.0	0.0
99	0.0	0.27000001072883606	-0.11749999970197678	2.788652539253235	0.0	0.0
100	0.0	0.27000001072883606	-0.11749999970197678	2.871275305747986	0.0	0.0
101	0.0	0.27000001072883606	-0.11749999970197678	2.9531906843185425	0.0	0.0
102	0.0	0.27000001072883606	-0.11749999970197678	3.034331202507019	0.0	0.0
103	0.0	0.27000001072883606	-0.11749999970197678	3.1146334409713745	0.0	0.0
104	0.0	0.27000001072883606	-0.11749999970197678	3.194034457206726	0.0	0.0
105	0.0	0.27000001072883606	-0.11749999970197678	3.2724732160568237	0.0	0.0
106	0.0	0.27000001072883606	-0.11749999970197678	3.349887728691101	0.0	0.0
107	0.0	0.27000001072883606	-0.11749999970197678	3.4262222051620483	0.0	0.0
108	0.0	0.27000001072883606	-0.11749999970197678	3.5014184713363647	0.0	0.0
109	0.0	0.27000001072883606	-0.11749999970197678	3.575422167778015	0.0	0.0
110	0.0	0.27000001072883606	-0.11749999970197678	3.6481813192367554	0.0	0.0
111	0.0	0.27000001072883606	-0.11749999970197678	3.7196439504623413	0.0	0.0
112	0.0	0.27000001072883606	-0.11749999970197678	3.78976047039032	0.0	0.0
113	0.0	0.27000001072883606	-0.11749999970197678	3.85848605632782	0.0	0.0
114	0.0	0.27000001072883606	-0.11749999970197678	3.925773501396179	0.0	0.0
115	0.0	0.27000001072883606	-0.11749999970197678	3.991580843925476	0.0	0.0
116	0.0	0.27000001072883606	-0.11749999970197678	4.055867552757263	0.0	0.0
117	0.0	0.27000001072883606	-0.11749999970197678	4.118592143058777	0.0	0.0
118	0.0	0.27000001072883606	-0.11749999970197678	4.179721236228943	0.0	0.0
119	0.0	0.27000001072883606	-0.11749999970197678	4.239217638969421	0.0	0.0
120	0.0	0.27000001072883606	-0.11749999970197678	4.297047972679138	0.0	0.0
121	0.0	0.27000001072883606	-0.11749999970197678	4.3531821966171265	0.0	0.0
122	0.0	0.27000001072883606	-0.11749999970197678	4.407591223716736	0.0	0.0
123	0.0	0.27000001072883606	-0.11749999970197678	4.4602473974227905	0.0	0.0
124	0.0	0.27000001072883606	-0.11749999970197678	4.51112687587738	0.0	0.0
125	0.0	0.27000001072883606	-0.11749999970197678	4.560204863548279	0.0	0.0
126	0.0	0.27000001072883606	-0.11749999970197678	4.6074594259262085	0.0	0.0
127	0.0	0.27000001072883606	-0.11749999970197678	4.6528719663619995	0.0	0.0
128	0.0	0.27000001072883606	-0.11749999970197678	4.696424841880798	0.0	0.0
129	0.0	0.27000001072883606	-0.11749999970197678	4.73810088634491	0.0	0.0
130	0.0	0.27000001072883606	-0.11749999970197678	4.777883887290955	0.0	0.0
131	0.0	0.27000001072883606	-0.11749999970197678	4.815763831138611	0.0	0.0
132	0.0	0.27000001072883606	-0.11749999970197678	4.851728320121765	0.0	0.0
133	0.0	0.27000001072883606	-0.11749999970197678	4.885764956474304	0.0	0.0
134	0.0	0.27000001072883606	-0.11749999970197678	4.917868494987488	0.0	0.0
135	0.0	0.27000001072883606	-0.11749999970197678	4.948029398918152	0.0	0.0
136	0.0	0.27000001072883606	-0.11749999970197678	4.976242899894714	0.0	0.0
137	0.0	0.27000001072883606	-0.11749999970197678	5.002504229545593	0.0	0.0
138	0.0	0.27000001072883606	-0.11749999970197678	5.0268086194992065	0.0	0.0
139	0.0	0.27000001072883606	-0.11749999970197678	5.049157023429871	0.0	0.0
140	0.0	0.27000001072883606	-0.11749999970197678	5.069546580314636	0.0	0.0
141	0.0	0.27000001072883606	-0.11749999970197678	5.087976336479187	0.0	0.0
142	0.0	0.27000001072883606	-0.11749999970197678	5.104448199272156	0.0	0.0
143	0.0	0.27000001072883606	-0.11749999970197678	5.118965029716492	0.0	0.0
144	0.0	0.27000001072883606	-0.11749999970197678	5.131527781486511	0.0	0.0
145	0.0	0.27000001072883606	-0.11749999970197678	5.142144083976746	0.0	0.0
146	0.0	0.27000001072883606	-0.11749999970197678	5.150813937187195	0.0	0.0
147	0.0	0.27000001072883606	-0.11749999970197678	5.1575459241867065	0.0	0.0
148	0.0	0.27000001072883606	-0.11749999970197678	5.162345767021179	0.0	0.0
149	0.0	0.27000001072883606	-0.11749999970197678	5.165221095085144	0.0	0.0
150	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
151	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
152	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
153	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
154	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
155	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
156	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
157	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
158	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
159	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
160	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
161	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
162	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
163	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
164	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
165	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
166	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
167	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
168	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
169	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
170	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
171	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
172	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
173	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
174	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
175	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
176	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
177	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
178	0.0	0.27000001072883606	-0.11749999970197678	5.166176676750183	0.0	0.0
