frame	location_0	location_1	location_2	rotation_euler_0	rotation_euler_1	rotation_euler_2
0	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
1	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
2	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
3	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
4	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
5	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
6	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
7	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
8	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
9	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
10	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
11	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
12	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
13	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
14	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
15	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
16	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
17	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
18	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
19	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
20	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
21	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
22	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
23	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
24	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
25	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
26	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
27	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
28	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
29	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
30	0.0	-0.012996269389986992	-0.29561519622802734	-1.117011308670044	0.0	0.0
31	0.0	-0.012908419594168663	-0.29557234048843384	-1.117011308670044	0.0	0.0
32	0.0	-0.012643268331885338	-0.29544302821159363	-1.117011308670044	0.0	0.0
33	0.0	-0.012199250981211662	-0.29522645473480225	-1.117011308670044	0.0	0.0
34	0.0	-0.011576155200600624	-0.2949225604534149	-1.117011308670044	0.0	0.0
35	0.0	-0.010775456205010414	-0.29453203082084656	-1.117011308670044	0.0	0.0
36	0.0	-0.00980055145919323	-0.2940565347671509	-1.117011308670044	0.0	0.0
37	0.0	-0.00865713320672512	-0.29349884390830994	-1.117011308670044	0.0	0.0
38	0.0	-0.007353423163294792	-0.29286298155784607	-1.117011308670044	0.0	0.0
39	0.0	-0.005900407209992409	-0.29215431213378906	-1.117011308670044	0.0	0.0
40	0.0	-0.004312003031373024	-0.2913796007633209	-1.117011308670044	0.0	0.0
41	0.0	-0.0026050489395856857	-0.29054704308509827	-1.117011308670044	0.0	0.0
42	0.0	-0.0007992144674062729	-0.2896662950515747	-1.117011308670044	0.0	0.0
43	0.0	0.001083293929696083	-0.2887481451034546	-1.117011308670044	0.0	0.0
44	0.0	0.0030181724578142166	-0.28780442476272583	-1.117011308670044	0.0	0.0
45	0.0	0.0049796197563409805	-0.2868477702140808	-1.117011308670044	0.0	0.0
46	0.0	0.0069410670548677444	-0.2858911156654358	-1.117011308670044	0.0	0.0
47	0.0	0.008875945582985878	-0.28494739532470703	-1.117011308670044	0.0	0.0
48	0.0	0.010758446529507637	-0.2840292453765869	-1.117011308670044	0.0	0.0
49	0.0	0.01256428100168705	-0.28314849734306335	-1.117011308670044	0.0	0.0
