frame	location_0	location_1	location_2	rotation_euler_0	rotation_euler_1	rotation_euler_2
0	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
1	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
2	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
3	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
4	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
5	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
6	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
7	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
8	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
9	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
10	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
11	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
12	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
13	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
14	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
15	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
16	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
17	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
18	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
19	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
20	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
21	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
22	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
23	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
24	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
25	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
26	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
27	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
28	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
29	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
30	0.0	0.02645709738135338	-0.37650665640830994	-1.117011308670044	0.0	0.0
31	0.0	0.026371408253908157	-0.3763309717178345	-1.117011308670044	0.0	0.0
32	0.0	0.026112761348485947	-0.3758006691932678	-1.117011308670044	0.0	0.0
33	0.0	0.025679636746644974	-0.3749126195907593	-1.117011308670044	0.0	0.0
34	0.0	0.02507183328270912	-0.3736664652824402	-1.117011308670044	0.0	0.0
35	0.0	0.024290770292282104	-0.3720650374889374	-1.117011308670044	0.0	0.0
36	0.0	0.023339789360761642	-0.3701152205467224	-1.117011308670044	0.0	0.0
37	0.0	0.02222442999482155	-0.3678283989429474	-1.117011308670044	0.0	0.0
38	0.0	0.020952705293893814	-0.36522096395492554	-1.117011308670044	0.0	0.0
39	0.0	0.01953534223139286	-0.36231493949890137	-1.117011308670044	0.0	0.0
40	0.0	0.017985908314585686	-0.3591381311416626	-1.117011308670044	0.0	0.0
41	0.0	0.016320833936333656	-0.3557242155075073	-1.117011308670044	0.0	0.0
42	0.0	0.014559306204319	-0.3521125614643097	-1.117011308670044	0.0	0.0
43	0.0	0.012722989544272423	-0.348347544670105	-1.117011308670044	0.0	0.0
44	0.0	0.010835589841008186	-0.3444778025150299	-1.117011308670044	0.0	0.0
45	0.0	0.008922267705202103	-0.3405548930168152	-1.117011308670044	0.0	0.0
46	0.0	0.007008944638073444	-0.33663201332092285	-1.117011308670044	0.0	0.0
47	0.0	0.005121546797454357	-0.3327622413635254	-1.117011308670044	0.0	0.0
48	0.0	0.0032852282747626305	-0.32899725437164307	-1.117011308670044	0.0	0.0
49	0.0	0.0015237024053931236	-0.32538557052612305	-1.117011308670044	0.0	0.0
50	0.0	-0.00014136917889118195	-0.3219716548919678	-1.117011308670044	0.0	0.0
51	0.0	-0.0016908063553273678	-0.318794846534729	-1.117011308670044	0.0	0.0
52	0.0	-0.003108168952167034	-0.31588882207870483	-1.117011308670044	0.0	0.0
